"tax_year","pin","min_bldg_sf","max_bldg_sf","bldg_sf_ratio","num_sharing_pin"
"2019","19034090090000",1225,1226,1.0008,2
"2019","14333290130000",1222,1224,1.0016,2
"2019","12042110600000",1073,1075,1.0019,2
"2019","06183010170000",1397,1400,1.0021,2
"2019","14182140020000",2313,2320,1.003,2
"2019","24254180130000",963,966,1.0031,2
"2019","16264130110000",1286,1291,1.0039,2
"2019","17321060170000",1062,1067,1.0047,2
"2019","14053170260000",2891,2910,1.0066,2
"2019","13252170050000",699,704,1.0072,2
"2019","14074070070000",2690,2710,1.0074,2
"2019","13141240180000",1889,1904,1.0079,2
"2019","17193140350000",840,847,1.0083,2
"2019","26312020160000",1052,1062,1.0095,2
"2019","04274160230000",2024,2044,1.0099,2
"2019","29232010220000",1185,1197,1.0101,2
"2019","13334100050000",475,480,1.0105,2
"2019","28021060650000",918,928,1.0109,2
"2019","16043270110000",865,876,1.0127,2
"2019","13243100090000",1452,1471,1.0131,2
"2019","11184190120000",4073,4133,1.0147,2
"2019","18092090510000",1186,1204,1.0152,2
"2019","17044400210000",2068,2100,1.0155,2
"2019","13202140140000",650,661,1.0169,2
"2019","19034150300000",1010,1029,1.0188,2
"2019","32211010320000",704,718,1.0199,2
"2019","16284220060000",1260,1286,1.0206,2
"2019","12133010630000",741,757,1.0216,2
"2019","15264120060000",1402,1435,1.0235,2
"2019","24364230220000",1307,1338,1.0237,2
"2019","13132300090000",2520,2580,1.0238,2
"2019","25152130570000",1580,1618,1.0241,2
"2019","25162110120000",1152,1180,1.0243,2
"2019","17311110010000",1200,1230,1.025,2
"2019","20171130090000",600,615,1.025,2
"2019","16262120100000",600,616,1.0267,2
"2019","02272070230000",3087,3170,1.0269,2
"2019","31234030030000",1462,1502,1.0274,2
"2019","30201160080000",969,996,1.0279,2
"2019","13221090040000",1173,1206,1.0281,2
"2019","13223180120000",1540,1584,1.0286,2
"2019","28013060080000",840,864,1.0286,2
"2019","13362110160000",1566,1611,1.0287,2
"2019","16264070090000",1139,1172,1.029,2
"2019","10293060150000",659,679,1.0303,2
"2019","25271000020000",943,972,1.0308,2
"2019","21304120060000",930,959,1.0312,2
"2019","16244230110000",1280,1320,1.0313,2
"2019","14292070450000",1440,1485,1.0313,2
"2019","14201060220000",2055,2120,1.0316,2
"2019","06193090280000",484,500,1.0331,2
"2019","14194110020000",1143,1181,1.0332,2
"2019","17203010060000",1200,1240,1.0333,2
"2019","32143030060000",1200,1242,1.035,2
"2019","17194010210000",1520,1575,1.0362,2
"2019","28144090420000",2426,2519,1.0383,2
"2019","13351050100000",1181,1227,1.039,2
"2019","01211000180000",2840,2955,1.0405,2
"2019","14333230190000",1200,1250,1.0417,2
"2019","17194070090000",960,1000,1.0417,2
"2019","15341250200000",1135,1184,1.0432,2
"2019","15034570010000",1076,1123,1.0437,2
